Date,Time,V,I,PF,KW,ENERGY,TOTAL ENERGY
9/7/2014,4:30:00 PM,248.58432,55.13902671,0.65010808,23.74,11.87,3825.48
9/7/2014,5:00:00 PM,247.488216,54.98047559,0.65010808,23.57,11.78,3837.27
9/7/2014,5:30:00 PM,247.42788,34.62296129,0.66131684,14.84,7.42,3844.69
9/7/2014,6:00:00 PM,247.417824,14.2382349,0.65010808,6.10,3.05,3847.74
9/7/2014,6:30:00 PM,247.3776,6.925999696,0.66131684,2.97,1.48,3849.22
9/7/2014,7:00:00 PM,247.357488,3.705904894,0.66131684,1.59,0.79,3850.01
9/7/2014,7:30:00 PM,247.297152,0,0.68373436,0.00,0.00,3850.01
9/7/2014,8:00:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,8:30:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,9:00:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,9:30:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,10:00:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,10:30:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,11:00:00 PM,0,0,0,0.00,0.00,3850.01
9/7/2014,11:30:00 PM,0,0,0,0.00,0.00,3850.01
9/8/2014,12:00:00 AM,0,0,0,0.00,0.00,3850.01
9/8/2014,12:30:00 AM,0,0,0,0.00,0.00,3850.01
9/8/2014,1:00:00 AM,0,0,0,0.00,0.00,3850.01
9/8/2014,1:30:00 AM,0,0,0,0.00,0.00,3850.01
9/8/2014,2:00:00 AM,0,0,0,0.00,0.00,3850.01
9/8/2014,2:30:00 AM,0,0,0,0.00,0.00,3850.01
9/8/2014,3:00:00 AM,0,0,0,0.00,0.00,3850.01
